rus,eng,translations,model_translation
я правда больна,am i really sick,i 'm really sick,i'm really really sick
вы меня поддержите,will you support me,you 're killing me,are embarrassing me
ответа ни у кого нет,no one has the answer,the sky is n't a complete,the one have one
том был под кайфом,was tom on drugs,tom was under the verge of the <unk>,tom was under
конюхи ухаживают за лошадьми,the grooms tend to the horses,the <unk> was <unk> by the hunter,what's is
возьми передышку,take a breather,take a look at yourself,take yours
вот ваш ключ,this is your key,here 's your key,here's your key key
пожалуйста не делай так больше,please don't do that again,please do n't eat so much,please don't do so more
мы приносим извинения,we apologize,we 're <unk>,we we apologize
это старая фотография,it's an old picture,this is a picture of picture,this is old picture
во сколько ты ушла,what time did you leave,what time did you go to bed,what time did you go
подожди пять минут пожалуйста,wait five minutes please,please wait fifteen minutes,wait wait three five
мне нужно немного времени,i need a little time,i need some time,i need a little time time
я позвонил домой,i called home,i called home,i called home
том выглядит грустным,tom looks sad,tom looks confused,tom looks sad
неужели всем всё равно,doesn't anyone care,everybody knows everything,is one all
я вообще ничего не видела,i saw nothing at all,i did n't see anything at all,i didn't seen all all
тома уволили за нарушение правил,tom was fired for breaking the rules,tom was fired for his behavior,tom was fired of the
пожалуйста не забудьте закрыть дверь,please don't forget to shut the door,please remember to shut the door,please don't forget to close the door
меня это всегда интересовало,i always wondered about that,i 'm always being impressed by that,it was always always
я была в библиотеке,i was in the library,i was in the library,i was in the library
автомобиль врезался в стену,the car crashed into the wall,the car hit the wall,the car rolled on the wall
моя тётя умерла от лейкемии,my aunt died of leukemia,my aunt died of the drug,my aunt died
вы можете опоздать в школу,you might be late for school,you can be late for school,you you be late school
том — превосходный гитарист,tom is an excellent guitarist,tom is a <unk> <unk>,tom is a brave guitarist
это для меня так важно,it's so important to me,it 's important to me that,it's is for for me
ты такой наивный,you're so naive,you 're so stuck,you're so so naive
как долго вы здесь уже,how long have you been here,how long have you been here,how long have you been here
ты совершенно права,you're completely right,you 're absolutely right,you're completely right
все совершают эту ошибку,everyone makes that mistake,all the students made this mistake,everyone is this mistake
я только что поужинал,i've just finished dinner,i just got married,i just just dinner
зачем ты хочешь это сделать,what do you want to do that for,why do you want to do that,why do you want to do that
не трать время,stop wasting time,do n't waste time,don't not the time
пожалейте меня,have pity on me,let me out,i'm
я капитан,i'm the captain,i 'm a captain,i'm the captain
это не совпадение,this is not a coincidence,it 's not a coincidence,this not a coincidence
как дела в школе,how are things at school,how are things in school,how are you going school school
держитесь крепко,hold on tight,hold your hair,keep warm
я устала,i'm tired now,i 'm tired,i'm tired
я разозлился,i got angry,i 'm angry,i got angry
сколько том тебе заплатил,how much did tom pay you,how much did tom pay you,how much did tom pay you
том с мэри не пострадали,tom and mary weren't injured,tom and mary are n't <unk>,tom and mary at invited
том действительно любит мэри,tom does love mary,tom loves mary likes,tom tom loves mary mary
нам нужно завершить начатое,we need to finish what we've started,we need to build out the tax,we need to finish it started started
том - мужчина средних лет,tom is a middle-aged man,tom is a man of old words,tom is a strong years
я усвоил урок,i've learned my lesson,i 'm learning my lesson,i'm learned a lesson
до бостона от чикаго далеко,boston is a long way from chicago,it 's far from boston from the hospital,it's is to near school
пожалуйста будьте внимательны переходя улицу,please be careful when crossing the street,please be careful by lightning,please be be when to the
том признал что украл деньги,tom admitted that he stole the money,tom admitted he was stolen money,tom admitted he i wrote he
том и на кларнете играет,tom also plays clarinet,tom is playing his piano,tom and watches with baseball
это крайне сложный вопрос,that's a very difficult question,that 's a difficult question,this is quite complicated question question
я пошёл в парк,i went to the park,i went to the park,i went to the park
нет подарка ценнее чем доверие,no gift is more precious than trust,there 's no way to tell the others,there's more more more than
чуешь запах газа,do you smell gas,the <unk> is <unk>,the gas is
том прячется в гараже,tom is hiding in the garage,tom is hiding in the garage,tom is hiding in the garage
том едет в австралию,tom is on his way to australia,tom is going to australia,tom is on in australia australia
том довольно старый,tom is quite old,tom is quite old,tom is quite attractive
какая твоя любимая ролевая игра,what's your favorite role-playing game,what 's your favorite game game,what's your favorite plan
это дом тома,it's tom's house,this house is tom 's,is tom's tom's house
посмотрите пожалуйста кто там пришёл,please see who is at the door,please look at there,look at them there there
он склонен опаздывать,he is apt to be late,he tends to be late,he is to be late
я думал ты любишь тома,i thought you loved tom,i thought you loved tom,i thought you loved loved
хочешь попробовать это,do you want to try this,do you want to try it,do you want to try it
не выбрасывай это,don't throw it out,do n't buy that,don't throw it down
я хочу сходить туда один,i want to go there alone,i want to go there alone,i want to go there alone
том был моим первым начальником,tom was my first boss,tom was my first boss,tom was my first age
мы не хотим этого,we don't want that,we do n't want that,we don't want to
учитель сердито отчитал своих учеников,the teacher scolded his students severely,the teacher teacher his teacher by a bear,the teacher directs officially his its its students
вы сегодня вечером работаете,are you working tonight,are you working tonight,are you working today today
вам правда нравится это делать,do you really like to do that,do you really like doing that,do you really like do that that
тебе больно,are you in pain,you 've got a pain,you you hurt
давай поговорим об этом,let's talk about it,let 's talk about it,let's talk about about
тому нравилось в школе,tom enjoyed school,tom liked school,tom liked in school
когда я должен вернуть машину,when should i return the car,when should i leave the car,when should i get the car
давай навестим тома,let's visit tom,let 's take tom 's place,let's meet tom
тому придётся за это заплатить,tom will have to pay for it,tom will have to pay for it,tom will have to for to
они хотят с тобой поговорить,they want to speak to you,they want to speak with you,they want to talk you you
том совсем один,tom is all alone,tom is alone at all,tom is alone alone
вы знаете когда том вернётся,do you know when tom will be back,do you know when tom will return,do you know tom tom be back
мы больше не в восьмидесятых,we're not in the 80s anymore,we 're not in college anymore,we're not going forever in
в башню ударила молния,lightning struck the tower,lightning struck the lightning,the the a in the the jungle
пожалуйста объясните что здесь происходит,please explain what's happening here,please explain what 's going on here,please explain what's happens here here
я узнаю что случилось,i'll find out what happened,i admit what happened,i recognize what happened
у тома есть сторонники,tom has his supporters,tom has a <unk>,tom tom have
я рад что том уехал,i'm glad tom left,i 'm glad that tom was ill,i'm glad tom came
я буду следовать за тобой,i'll follow you,i 'll follow you,i'll be to follow you
почему вы не едите говядину,why don't you eat beef,why do n't you eat beef,why don't you eat any
я знаю ты расстроен,i know you're upset,i know you 're upset,i know you upset
это не мой зонт,this isn't my umbrella,that 's not my umbrella,this isn't my umbrella
девушка одинока,the girl is lonely,the girl is lonely,the is is
я тоже ничего не понял,i too didn't understand anything,i did n't understand anything either,i didn't eaten anything
ты ничего не можешь сделать,you can't do anything,you can do nothing,you you understand anything
фоме было сложно ему угодить,tom found it difficult to please him,it was hard to keep him,tom was difficult hard him
я ещё не готова,i'm still not ready,i 'm not ready yet,i'm not ready yet
вы любите оперу,do you like opera,do you like <unk>,do you like salmon
чего не хватает,what is missing,what are n't you talking,what are the
он выглядит сильным,he looks strong,he looks strong,he looks strong
хорошо что вы с нами,it's good to have you with us,it 's good you with us,well good good you with with
сенатор керри считался либералом,senator kerry was considered a liberal,the <unk> <unk> the <unk>,the are a liberal
тому надо идти,tom has to go,tom has to go,tom has to go
я из франции,i am from france,i 'm from france,i'm from from
что это за пятно,what kind of stain is that,what kind of rope is this,what's is of
оставайтесь со мной на связи,keep in touch with me,stay with me on the couch,stay with with me me
я не умею этого делать,i don't know how to do that,i do n't know how to do that,i won't know how to do that
не сердись том,don't get angry tom,do n't let tom go,don't be happy tom
сигары изобрели индейцы,did the indians invent cigars,the <unk> was <unk> by the hunter,take the the station
смейся как можно чаще,laugh as often as you can,get out of the way of the <unk>,can can can often other
ей захотелось отменить план,she felt like giving up the plan,she is eager to buy a plan,she is planning plan the plan
пострадало три человека,three people were injured,three people were killed,three three were were
ты помыла посуду,have you washed the dishes,did you wash the dishes,are you the comic dishes
надеюсь том там,i hope tom is there,i hope tom is there,i hope tom there
спасибо вам за напитки,thank you for the drinks,thank you for your concern,thanks for for the
у меня двойняшки,i have twins,i have a <unk>,i'm have are
всё в машине,everything's in the car,everything is in the car,everything's in in car
вы сказали что это срочно,you said it was urgent,you said that you were lying,did said that was was
почему вы поздно ложитесь,why do you go to bed late,why did you come to come back,why are you go
тебе нужна новая девушка,you need a new girlfriend,you need a new girlfriend,you need a new new
том чинит свою машину,tom is repairing his car,tom stole his car,tom counts his his
во сколько вы закрываетесь,what time do you close,what time do you wake up,what time are you
том редко задает вопросы,tom seldom asks questions,tom rarely asks questions,tom seldom ever a questions
том пытался понять,tom tried to understand,tom tried to understand,tom tried to understand
перед нами сложный выбор,we are faced with a difficult choice,there 's nothing to be waiting for us,there have a a a
тому пришлось остаться в бостоне,tom had to stay in boston,tom had to stay in boston,tom had to stay in boston
мы не жаловались,we didn't complain,we 're not <unk>,we weren't complaining
я ещё не обедал,i haven't had lunch yet,i have n't yet left,i haven't eaten lunch yet
вы хорошая мать,you're a good mother,you 're a good mother,you're a good mother
том отрицал что знает мэри,tom denied that he knew mary,tom denied mary was lying,tom knows what he mary
он мне совершенно незнаком,he is an utter stranger to me,he is completely completely sorry for me,he i completely
когда вы думаете начать,when do you expect to start,when do you think to begin,when do you think to start
не давайте её никому,don't give it to anyone,do n't give it to anyone,don't let's it anyone
я думаю вы выиграете,i believe that you'll win,i think you 're bluffing,i think you'll win
это не решит проблему,this won't fix the problem,it 's not a minor problem,it isn't solve problem problem
я не могу водить машину,i can't drive a car,i ca n't drive,i can't find a car
кстати вы где живёте,by the way where do you live,by the way where are you going to live,by the way where where have in
мы в меньшинстве,are we in the minority,we 're in the hurry,we're trapped
вы чего смеётесь,what makes you laugh,why are you standing,why are laughing
думаете том ещё не спит,do you think tom is still up,do you think tom is still awake,do you think tom tom still asleep
том не рассказывает шутки,tom doesn't tell jokes,tom did n't harm his jokes,tom doesn't no joke joke
когда концерт начинается,when does the concert begin,when will the concert begin,when concert concert concert start
том вряд ли дома,tom isn't likely to be home,tom is n't likely to be home,tom isn't likely be home home
я хочу сделать это дома,i want to do that at home,i want to do that home,i want to do this
том останется здесь,tom will stay here,tom is going to stay here,tom will here here here
том был явно разочарован,tom was clearly disappointed,tom was obviously disappointed,tom was obviously disappointed
он был убит собственным братом,he was killed by his own brother,he was killed by a brother,he was killed his his
ты дописал отчёт,have you finished writing the report,did you write the report,have you report report
не будь такой медлительной,don't be so slow,do n't be such a <unk>,don't be like
интересно том ли это,i wonder if that's tom,i wonder if tom is jealous,i wonder tom tom true
никто не может вам помочь,nobody can help you,nobody can help you,no one help you
мне нужно ощущать себя полезным,i need to feel useful,i need to make a fool of myself,i need to feel upset
оставайтесь внутри,stay inside,stay inside,stay inside
вы очень хорошо водите машину,you're a very good driver,you 're a very good car,you're very very good black
вопрос удивил тома,tom was surprised by the question,the question surprised tom,tom's decision surprised
том планирует сделать это сегодня,tom plans on doing that today,tom is planning to do that today,tom tom planning to do today
я почти никогда не заболеваю,i almost never get sick,i almost never laugh,i'm hardly never never
мужчина должен работать,a man must work,the man must work,the man must to
я больше не ребёнок,i'm not a child anymore,i 'm not a baby anymore,i'm not a child anymore
мы не жалуемся,we're not complaining,we 're not <unk>,we're not complaining
вы за мной шпионите,are you spying on me,are you following me,have you me spying me
вы действительно можете предсказывать будущее,can you really predict the future,can you really predict the future,can you really predict the future
том всё время всё ломает,tom is always breaking things,tom always asks everything,tom is all all all
я сейчас не хочу есть,i don't want to eat now,i do n't want to eat now,i don't want to now now
почему все смотрят на меня,why is everyone looking at me,why is everybody looking at me,why is staring looking at me
я решил уехать,i've decided to leave,i 've decided to leave,i decided to leave
у тома такое есть,tom has one,tom has a weird,tom tom have bad
том вернулся,tom came back,tom came back,tom is back
я хотела первой тебя поздравить,i wanted to be the first to congratulate you,i wanted to agree to you,i wanted to fire you you you
интересно зачем том это сделал,i wonder what tom did that for,i wonder why tom did that,i wonder why did did it
сколько с меня,how much should i pay,how much is i,how many money you
почему мужчины такие,why are men like that,why is people so happy,why are men best
мы остались без кофе,we're out of coffee,we 're not playing at ten,we must have coffee
я хотел на это посмотреть,i wanted to see that,i wanted to see it,i wanted to see it
тому больше некуда идти,tom has nowhere else to go,tom has nowhere else to go,tom has nowhere nowhere to to
она быстро спрятала деньги,she quickly put the money out of sight,she quickly <unk> the money,she got into the the
я знаю сколько времени,i know what time it is,i know why,i know how time time is
мы только что докрасили стену,we just finished painting the wall,we just just kissed the wall,we just the the
она почти ничего не съела,she hardly ate anything,she almost drowned no,she hardly quietly eaten
они что-то нашли,they found something,they found something,they they something
они обе знают французский,they both can speak french,they know french about french,they both them french
ты гораздо умнее тома,you're a lot smarter than tom is,you 're smarter than tom is n't,you're much taller than than
ты поговорил с томом,have you spoken with tom,have you spoken to tom,did you talk to tom
продолжай попытки,keep on trying,keep climbing,keep in their
том слишком часто это делает,tom does that too much,tom often does that too much,tom is also do often
завтра вечером я приготовлю ужин,i will cook dinner tomorrow evening,i 'm going to be back by dinner tonight,i'll i i tomorrow tomorrow
я всегда готов вам помочь,i am always ready to help you,i 'm always ready to help you,i'm always willing to help you
ненавижу ходить пешком,i hate walking,i hate walking,i hate go walk
это очень хороший план,it's a very good plan,that 's a very good plan,this a a good good
давайте обсудим это позже,let's discuss this later,let 's discuss it later,let's talk it later later
том заснул на посту,tom fell asleep on guard duty,tom fell asleep during the lecture,tom fell asleep to a a
я не вру,i don't lie,i 'm not a <unk>,i won't lie
дайте мне полный стакан воды,give me a full glass of water,give me a glass of water water,give me a glass of of
том услышал звук,tom heard the sound,tom heard the sound,tom heard the sound
ты очень сильно напился,you got very drunk,you 're very sleepy,you a very very
хорошая работа,good job,that 's a good job,it's a good job
я слишком много ругаюсь,do i curse too much,i 'm too much,i'm too too much
ты не можешь отменить встречу,you can't cancel the meeting,you ca n't postpone the meeting,can't can't find cancel
можешь уложить детей спать,can you put the children to bed,you can stay in the children,can you lean the to
они обнаружили украденные деньги,they found the stolen money,they found the money of money,they found the cat
мне нравится пицца,i like pizza,i like <unk>,i like pizza
взрывчатки обнаружено не было,no explosives were found,the weapon was n't found,weren't weren't been
я сделал тот,i made that one,i did that,i did that
вы помните этот магазин,do you remember that store,do you remember this store,do you remember this store
сейчас только половина третьего,it's only 230,it 's 230 230,it's is only
почему ты ещё улыбаешься,why are you still smiling,why are you still sleepy,why are you still smiling
том пропустил обед,tom skipped lunch,tom is making lunch,tom got lunch
церковь находится в центре деревни,the church is in the middle of the village,the church is <unk> in the <unk>,a is in the the corner
вас действительно томом зовут,is your name really tom,is tom really your name,your really really tom tom
том звонил от соседа,tom phoned from a neighbor's house,tom called 911,tom called the neighbor's
от чего ты бежишь,what are you running away from,what are you <unk>,what did you drinking
ты слышал что я сказал,did you hear what i said,did you hear what i said,did you hear i said
вам стоит попробовать это,you should try it,you should try it,you should no it
старуха сумасшедшая,that old lady is crazy,the <unk> are dead,the the is dirty
иногда я сплю на диване,i sometimes sleep on the sofa,i sometimes sleep on the couch,i sometimes sleep on the sofa
давайте встретимся около гостиницы,let's meet in front of the hotel,let 's meet them,let's meet about the time
можно я тоже приду,may i come too,can i come too,can i come again
том работает в местном ресторане,tom works at a local restaurant,tom works at a local restaurant,tom works in a restaurant restaurant
это моя девушка,this is my girlfriend,that 's my girlfriend,this is my girlfriend
мне надо уйти пораньше,i've got to leave early,i have to leave early,i have to leave
мама вышла,my mother is out,my mother is swimming,my mother has gone
я думаю том был пьян,i think tom was drunk,i think tom was drunk,i think tom was was
том принёс свой,tom brought his,tom brought his back,tom brought his
какой у тебя новый адрес,what's your new address,what 's your new address,what's your your new
у вас тридцать секунд,you have thirty seconds,you 've got thirty seconds,you've got thirty a
нам пришлось продираться сквозь толпу,we had to push our way through the crowd,we had to <unk> the <unk>,we had to switch the crowd crowd
сомневаюсь что том это сделает,i doubt that tom will do that,i doubt tom will do that,i doubt tom will do that
том заказал пиво,tom ordered a beer,tom ordered beer,tom ordered a beer
мне нужно найти новую работу,i need to find a new job,i need to find a new job,i need to buy a new job
я знаю что это трудно,i know that it's difficult,i know it 's difficult,i know it's is difficult
том присматривал за детьми,tom looked after the children,tom is following his children,tom looked the on the
я хочу всего,i want it all,i want to be alone,i want to
у нас есть три часа,we have three hours,we have three hours,we have three three
танцы запрещены,dancing is prohibited,the <unk> are <unk>,the
том - теперешний муж мэри,tom is mary's current husband,tom is mary 's ex - husband,tom is mary's husband
том хотел посмотреть что случилось,tom wanted to see what was up,tom wanted to see what happened,tom wanted to see what happened
том дома с детьми,tom is at home with his children,tom is at home with his children,tom is home at the children children
ты похудел,did you lose weight,did you lose weight,did you lost weight
пожалуйста скажи нам,please tell us,please tell us,please tell us
двадцать лет — большой срок,twenty years is a long time,the old man is about to be married,the years is beautiful haunted
какое удобрение лучшее для томатов,what's the best fertilizer for tomatoes,what kind of research does it cost,what one is best best
что бы вы ещё добавили,what else would you add,what would you suggest again,what'll you you
это не сложно,that isn't difficult,it 's not difficult,this isn't difficult
том говорит что ты гений,tom says you're a genius,tom says that you 're a genius,tom says that a genius genius
я вас уважал,i respected you,i 'm ignoring you,i saved you
вы не так говорили,you did not say so,you 're not talking,you you said so
мне кажется я просто устал,i guess i'm just tired,i think that i 'm just tired,i feel i'm i tired tired
я люблю шахматы,i like chess,i like chess,i love chess
я хочу сделать больше,i want to do more,i want to eat more,i want to do more
эта лестница металлическая,this ladder is metal,this <unk> is <unk>,this land
у тебя рубашка мятая,your shirt is wrinkled,your shirt is black,your pants is red
вы не заметили,didn't you notice it,did n't you notice,you you notice
мне это кажется бесчеловечным,that seems inhumane to me,it seems impossible to me,i really to
тому нужно было больше времени,tom needed more time,tom needed more time,tom needed to more
почему ты не делаешь пометок,why aren't you taking notes,why do n't you do that,why aren't you doing
том не мог не рассмеяться,tom couldn't help but laugh,tom could n't refuse,tom couldn't not no
том меня убедил,tom convinced me,tom convinced me,tom started me
я не знал какую купить,i didn't know which one to buy,i did n't know which one i should buy,i didn't know which one i buy buy buy
я высадил тома у аэропорта,i dropped tom off at the airport,i 'll ask tom 's father,i was tom on the airport
том и мэри мертвы,tom and mary are dead,tom and mary are <unk>,tom and mary are dead
он сделал себя сам,he is a self-made man,he made himself himself,he did it myself
был очень рад услышать новости,i was very glad to hear the news,it was very expensive for that news,it was really to hear hear news
это то что я хотела,this is what i wanted,that 's what i wanted,this what what i wanted
я сильно ранен,i'm hurt bad,i 'm badly wounded,i'm very very
том наверху делает уроки,tom is upstairs doing his homework,tom is upstairs upstairs,tom is his his his homework
тому безразлично что думают другие,tom doesn't care about what other people think,tom is eager to be honest,tom doesn't realize what what
это так глупо,that's so stupid,that 's so stupid,this so stupid stupid
я не хочу выглядеть глупо,i don't want to look stupid,i do n't want to become a foolish,i don't want to guys stupid
вы как испорченная пластинка,you sound like a broken record,you 're way as a <unk>,you're you a
никого не обижайте,don't hurt anybody,nobody <unk>,no one hurt
я думаю это том сделал,i think tom is the one who did that,i think that tom did that,i think tom was did
наконец он достиг своей цели,finally he achieved his goal,finally he achieved his goal,she finally his his goal goal
том не желает слушать мать,tom won't listen to his mother,tom did n't listen to his mother,tom isn't listen to cheer his mother
могло быть гораздо хуже,it could be a lot worse,it could be worse than a hurry,it be a worse
она не сказала ни слова,she hasn't said a word,she did n't say a word,she didn't say not word word
том тоже пишет книгу,tom is also writing a book,tom writes a book too,tom also also a book
я открыла ту коробку,i opened that box,i opened this box,i opened the box
очевидно что он неправ,obviously he is wrong,obviously he is wrong,obviously obvious seems he he wrong
я сбросила три килограмма,i lost three kilograms,i 've been waiting for three hours,i three kilos
том сказал что ты придёшь,tom said you'd come,tom said that you would come,tom said that you'd come
ненавижу пауков,i hate spiders,i hate <unk>,i hate
я благодарю тебя за доверие,i thank you for your confidence,i thank you for the <unk>,i asked you for for
ты хочешь сделать это вместе,do you want to do it together,do you want to do that together,do you want to see there
это решение окупилось,this decision paid off,that 's a decision decision,this decision a
у тома три варианта,tom has three options,tom has three choices,tom has three options
я отклонил предложение,i turned down the offer,i declined the offer,i turned the offer
что-нибудь передать,can i take a message,do you have anything to wear,something something
та машина принадлежит тому,that car belongs to tom,this car belongs to tom,this car tom's tom tom
вы имеете в виду нас,do you mean us,you 're going to miss us,do you mean
она сильная,she is strong,she is strong,she is
дверной звонок звонит,the doorbell is ringing,the doorbell rang is open,the river phone ringing ringing
это абсурд,that's absurd,that 's <unk>,this absurd
я буду действовать наверняка,i'll play it safe,i 'll be careful with you,i'll be to little to
я заинтересован,i'm concerned,i 'm <unk>,i'm divorced interested
я думаю том бредит,i think tom is delirious,i think tom is bluffing,i think tom
она учила музыке тридцать лет,she taught music for thirty years,she <unk> her friend thirty,she studied listening for years years years
я всегда был толстым,i've always been fat,i 've always been a pig,i always been fat
собачий корм дорогой,dog food is expensive,the <unk> <unk> the <unk>,the dog is
том всё ещё принимает душ,tom is still taking a shower,tom is still taking a shower,tom is still the shower
вы не видите что происходит,can't you see what's happening,do n't you see what 's going on,you you see what's happening on
очень надеюсь что это неправда,i sure hope that that isn't true,i 'm sure it 's not very easy,i doesn't seem it's true true
хотите поехать за границу,would you like to travel abroad,do you want to go abroad,do you want to go abroad
я не люблю бегать,i don't like running,i do n't like to run,i don't like drinking
продолжай искать,keep searching,keep looking,keep on of look
она боялась собаки у ворот,she was afraid of the dog at the gate,she was afraid of the dog,she was afraid the to the the gate
мы сделали это двадцатого октября,we did that on october 20th,we did it on sunday,we did it in october
том носит очень толстые очки,tom wears very thick glasses,tom wears sunglasses in his pajamas,tom wears wears very glasses
том рыжий,tom has red hair,tom is <unk>,tom is a
я рад что ошибался,i'm glad i was wrong,i 'm glad i 'm wrong,i'm glad i i wrong
вы живёте одни,do you live alone,do you live alone,you live live alone
я выиграла,i won,i won,i won
том всё время делает это,tom does it all the time,tom always do that,tom is all all that
не говорите по-французски,don't speak french,do n't speak french,don't tell french
я не готов к этому,i'm not ready for that,i 'm not ready for this,i'm not ready to this
том не знает кто выиграет,tom doesn't know who's going to win,tom does n't know who won,tom doesn't know who'll he
том без меня не может,tom can't do without me,tom wo n't leave me,tom doesn't no without
том гораздо моложе мэри,tom is a lot younger than mary is,tom is much younger than mary,tom is much younger than mary
бери мою,take mine,take mine,take mine
надевайте пижаму и идите спать,put on your pajamas and go to bed,the <unk> refused to go to bed,power and and bed bed
том опять сбежал из дома,tom has run away from home again,tom has escaped from his home,tom has up away away
убери её от меня,get it away from me,get it from me,get it to me me
вам меня не спасти,you can't save me,you 're not bothering me,you you help me
пожалуйста не оставляйте окна открытыми,please don't leave the windows open,please do n't leave the windows open,please don't leave the open open open
на что вы намекаете,what are you hinting at,what are you <unk>,what're are you at at
том пригласил мэри на вечеринку,tom invited mary to a party,tom asked mary to party,tom questioned mary to the party party
мы вернёмся полтретьего,we'll be back at 230,we 'll be back by 230,we'll be back at
я богата,i'm wealthy,i 'm rich,i'm rich
у пеликанов большой клюв,pelicans have large beaks,a big typhoon has a big cough,your is big
мне нужно увидеть вас лично,i need to see you in person,i need to see you personally,i need to see you you
пожалуйста останьтесь здесь,please stay here,please sign here,please stay here
том ищет мэри,tom is looking for mary,tom is looking for mary,tom is looking for mary
пожалуйста скопируй это,please copy this,please explain it,please this
давайте выясним кто убил тома,let's find out who killed tom,let 's find out who killed tom,let's find out who tom
том нас продал,tom sold us out,tom sold us,tom has us
проглоти не жуй,swallow it don't chew it,the <unk> are n't <unk>,don't
том вырос в рабочей семье,tom grew up in a working-class family,tom grew up in a big family,tom grew up in a family
том растянулся на пляжном полотенце,tom stretched out on a beach towel,tom is obsessed for the towel,tom is in a towel
том - практикант,tom is a trainee,tom is a <unk>,tom tom
на корабле 48 моряков,forty-eight sailors are on the ship,the <unk> are on the hill,there was lasted on the
том купил ящик апельсинов,tom bought a box of oranges,tom bought a box of chocolates,tom bought a box of the
вы обещали что не расскажете,you promised that you wouldn't tell,you promised you would n't get married,you promised that you say
это кажется логичным,it seems logical,that seems fair,it seems to to
мы все родня,we're all related,we 're all <unk>,we're all
том постоянно говорит о баскетболе,tom talks about basketball all the time,tom always talks about the weather,tom always talks of
темнеет пошли домой,it is getting dark let's go home,the home began to go home,it came home home
позвольте задать вам несколько вопросов,let me ask you a few questions,let me ask you some questions,let me ask you a questions
почему ты оставил дверь открытой,why did you leave the door open,why did you open the door open,why did you shut the door
ничего необычного не обнаружили,nothing unusual was found,nothing special,nothing was nothing
я никогда не прощу тома,i'll never forgive tom,i 'll never forgive tom,i'll will never to
тебе надо быть осторожной,you need to be careful,you have to be careful,you have to be careful
что том пел,what did tom sing,what did tom sing,what did tom sing
это мне том подарил,tom is the one who gave this to me,i 'm the one who gave this to tom,i the one one gave tom
не похоже чтобы вы торопились,you don't seem to be in a rush,you do n't seem to be in love,it don't seem to
куда вы дели мою сумку,what have you done with my bag,where did you get my bag,where did you get my bag
хороший будет день,it'll be a good day,it 's going to be a good day,it's it be day day day
том расстелил одеяло,tom unfolded the blanket,tom <unk> his blanket,tom is the the
я так горжусь тобой,i'm so proud of you,i 'm so proud of you,i'm so proud of you
здесь больной,there's a sick man here,it 's not safe here,are are cold
ты с полицией,are you with the police,are you with the fbi,are you listening the police
он тут ни при чём,he has nothing to do with it,he is n't here to do that,he is the all the
я бедный студент,i'm a poor student,i 'm a student student,i'm a student student
я думаю том возможно мёртв,i think tom might be dead,i think tom is dead,i think tom is dead dead
меня уговорили бросить курить,i was persuaded to stop smoking,i was forced to quit smoking,i'll listened to to smoking
у тома есть белка,tom has a squirrel,tom has a <unk>,tom has have a spot
ты очень красивая женщина,you're a very beautiful woman,you 're a very beautiful woman,you're very very beautiful beautiful woman
вы чересчур агрессивны,you're too aggressive,you 're the expert,you're too ambitious
мы оба учителя,we're both teachers,we 're both teachers,we're both are
я сфотографировал часы работы,i took a picture of the schedule,i 'm looking for a job,i took a a job job job
думаю вы захотите это увидеть,i think you'll want to see this,i think you 'll see that,i think you'll to to see
том не такой как раньше,tom is different than he used to be,tom is n't like that,tom isn't such like
это ядовитый гриб,this is a poisonous mushroom,this is a <unk> <unk>,this called relief
я осмотрительный,i'm discreet,i 'm <unk>,i'm am
попробуйте эту конфету,try this candy,try to avoid this,try this lot
я знаю кто там был,i know who was there,i know who was there,i know who was were
пожалуйста отведи меня к тому,please take me to tom,please send me to tom,please take me for tom
найти дом тома было непросто,it wasn't easy to find tom's house,tom was easy to find home,tom tom's was was easy easy
банки открываются в девять часов,banks open at nine o'clock,the <unk> are set up in the morning,the your refrigerator nine nine nine
таково моё мнение,that's my opinion,opinion is my opinion,that's my opinion
поможете нам,are you going to help us,help us,do we need
вам некого винить кроме себя,you have only yourself to blame,you 're going to blame but yourself,you have no to to to
нам надо закончить вовремя,we've got to finish on time,we have to get on time,we have to finish time time
я тоже беспокоюсь за тома,i too am worried about tom,i 'm worried about tom too,i'm also worried about too
вы её там видели,did you see her there,did you see it there,have you see there
не звони ей сейчас,don't call her now,do n't give it to her now,don't call her today
мне нужно твоё содействие,i need your assistance,i need your support,i need your help
твоё имя том верно,your name is tom right,your name is tom right,your name is true
том спал в амбаре,tom slept in the barn,tom slept in the <unk>,tom slept in a trunk
тому это понадобится,tom will need this,tom will need it,tom will it it
том переодевается,tom is changing clothes,tom is <unk>,tom tom
хотите кофе,do you want coffee,do you want coffee,do you want to coffee coffee
в японии едят много риса,they eat a lot of rice in japan,there are japan in japan in the refrigerator,there are a lot lot in in
та дверь - единственный выход,that door's the only way out,this door is about to leave,this the only only only of
как давно вы его знаете,how long have you known him,how long have you known him,how long have you do him
они соседи,they are neighbors,they 're neighbors,they're neighbors
дайте мне тот телефон,give me that phone,give me that phone,give me that phone number
том не узнает,tom won't know,tom wo n't find out,tom won't going
нам надо за покупками,we need to go shopping,we need to go shopping,we got shopping shopping
налейте себе чашку кофе,please pour yourself a cup of tea,get your cup with a cup of coffee,divide a cup of coffee
тебе лучше этого не делать,you'd better not do it,you 'd better not do that,you'd better better do do
вам надо переехать,you've got to move,you have to hurry,you got to move
готова начать,are you ready to begin,the cake is ready,are start start start start
остановитесь на минутку,stop for a moment,relax for a minute,stop on minute minute
